title,link,source,ai_summary,time
'I've made a million mistakes' - Frankie Dettori recalls the highs and lows of his extraordinary career in a straight-talking interview,https://www.racingpost.com/news/features/the-big-read/ive-made-a-million-mistakes-frankie-dettori-recalls-the-highs-and-lows-of-his-extraordinary-career-in-a-straight-talking-interview-ayv1j6z0Ygat/,racing_post,傳奇騎師法蘭基·迪托利，結束其40年充滿戲劇性、高潮迭起且名震世界的職業生涯，選擇在里約而非傳統賽場退役，以兩場勝利及招牌飛躍離鞍，為輝煌成就畫上句號。,
Game Spirit Chase: 'That should stand us in good stead for the Arkle' - Lulamba passes test as he warms up for festival,https://www.racingpost.com/news/reports/arkle-favourite-lulamba-makes-it-three-from-three-over-fences-with-success-at-4-11-anVUg7Y5KJkb/,racing_post,新秀賽馬Lulamba在「賽馬精神追逐賽」中，克服惡劣場地及經驗對手的嚴峻考驗成功奪冠，展現非凡級數並累積寶貴經驗，使其成為下月阿克爾障礙賽的奪冠熱門。,
IHRB insists Redwood Queen investigation was 'thorough' despite it declining to avail of BHA assistance,https://www.racingpost.com/news/ireland/ihrb-insists-redwood-queen-investigation-was-thorough-despite-it-declining-to-avail-of-bha-assistance-aIz3C4M2jnlr/,racing_post,愛爾蘭賽馬監管局（IHRB）對騎師墜馬案的調查，因無視英國賽馬局（BHA）屢次就異常投注與誠信發出的警告，遭廣泛質疑其徹底性。,
Tom Segal tipped William Hill Hurdle winner Tutti Quanti on Saturday - find out his best bets for the action at Chelmsford and Navan,https://www.racingpost.com/horse-racing-tips/premium-tips/top-tipsters/tom-segal-tipped-william-hill-hurdle-winner-tutti-quanti-on-saturday-find-out-his-best-bets-for-the-action-at-chelmsford-and-navan-ac5OX9A4acF2/,racing_post,「Racing Post+」推出頂級專家賽馬貼士服務，現享全年六五折訂閱優惠，更為車士打賽馬節呈獻獨家賽馬內容，助您掌握最新資訊。,
'Where would he be in the betting?' - Nicky Henderson playfully asks a Champion Hurdle question after Lulamba's dominant display,https://www.racingpost.com/news/reports/where-would-he-be-in-the-betting-nicky-henderson-playfully-asks-a-champion-hurdle-question-after-lulambas-dominant-display-auuws8E6i6WM/,racing_post,尼基·亨德森馬房雙重困境：主力馬Sir Gino住院前景未卜，而Lulamba雖勝卻現血跡與跳躍不穩，兩駒的切爾滕納姆前景皆堪憂。,
'He has got everything he needs to win one' - Dan Skelton has his sights set on festival glory,https://www.racingpost.com/news/festivals/cheltenham-festival/he-has-got-everything-he-needs-to-win-one-dan-skelton-has-his-sights-set-on-champion-hurdle-glory-with-the-new-lion-ardEk8f3KZMD/,racing_post,練馬師斯科爾頓堅信旗下馬匹「新獅子」已具備級數、耐力及速度，足以挑戰下月切爾滕納姆賽馬節的冠軍障礙賽寶座。,
'Very encouraging' start for Friday Night Live with betting turnover up 60 per cent on Racing League average at first meeting,https://www.racingpost.com/news/britain/very-encouraging-start-for-friday-night-live-with-betting-turnover-up-60-per-cent-on-racing-league-average-at-first-meeting-aJHzj1I0Jvxm/,racing_post,「週五夜間現場」賽馬以創新娛樂吸引年輕觀眾，投注額遠超預期，證明賽馬業拓展新市場策略初戰告捷，前景看好。,
Haiti Couleurs and Lulamba prep for Cheltenham with wins before Tutti Quanti shines - Saturday's action as it happened,https://www.racingpost.com/news/raceday-intel/saturday-build-up-all-the-latest-weather-news-and-market-moves-as-haiti-couleurs-puts-cheltenham-credentials-on-the-line-rPtGm6Y59zQK/,racing_post,圖提寬提在威廉希爾跨欄賽大勝15個馬身，練馬師保羅·尼科爾斯考慮為其補報冠軍跨欄賽（賠率20賠1）；同日海地色彩與盧蘭巴亦贏得二級賽，將進軍下月卻爾頓賽馬節。,
Cheltenham Stable Tours return - and now is the perfect time to join Racing Post+ with 35% off for A WHOLE YEAR,https://www.racingpost.com/news/cheltenham-stable-tours-return-and-now-is-the-perfect-time-to-join-racing-post-with-35-off-for-a-whole-year-a1tp92H7rjPM/,racing_post,Racing Post+ 慶祝切爾滕納姆賽馬節倒數，推出年度訂閱六五折優惠，提供獨家馬房巡禮及專家貼士，助您全面備戰這項盛事。,
Newbury: 'On testing ground you'd want to have him in the Champion Hurdle' - all-the-way victory puts Tutti Quanti in festival contention,https://www.racingpost.com/news/reports/he-could-be-a-serious-british-contender-for-the-supreme-sober-glory-cut-to-16-1-for-festival-opener-after-impressing-harry-cobden-a5hKy6I51TRi/,racing_post,Tutti Quanti輕鬆贏得威廉希爾跨欄賽，練馬師尼科爾斯考慮讓牠補報角逐冠軍跨欄賽，最終決定將視乎屆時場地情況。,
Tutti Quanti may prove a touch below Champion Hurdle class - but his rout paid huge compliments to this 20-1 shot for the Supreme,https://www.racingpost.com/news/betting-insight/tutti-quanti-may-prove-a-touch-below-champion-hurdle-class-but-his-rout-paid-huge-compliments-to-this-20-1-shot-for-the-supreme-a1JuR6q2dw1L/,racing_post,蒂蒂寬蒂在紐貝里障礙賽中，於負重及久休劣勢下，以15馬位大勝，展現黑馬潛力，有望挑戰冠軍障礙賽。,
Denman Chase: 'Job done and all systems go for the Gold Cup' after Haiti Couleurs puts rivals to the sword at Newbury,https://www.racingpost.com/news/reports/cheltenham-gold-cup-hope-haiti-couleurs-puts-denman-chase-rivals-to-the-sword-under-sean-bowen-aRe9z5J0sVvg/,racing_post,「海地色彩」勝出二級賽登曼追逐賽，晉級切爾滕納姆金盃，為威爾斯馬匹自1990年以來再奪金盃燃點希望，儘管牠的跳躍表現不穩，最終仍以七個馬位優勢獲勝。,
Ruby Walsh on what might help Haiti Couleurs go toe to toe with the best in the Gold Cup,https://www.racingpost.com/news/festivals/cheltenham-festival/ruby-walsh-on-what-might-help-haiti-couleurs-go-toe-to-toe-with-the-best-in-the-gold-cup-as7IK8G7oxxg/,racing_post,賽馬專家魯比．華殊建議，儘管海地高盧贏得Denman Chase但跳欄仍不穩，應在金盃賽佩戴頰罩，以提升其專注力及競賽表現，增強奪冠機會。,
